"fare_id","route_id","origin_id","destination_id","contains_id"
"Ônibus","233C-10","","",""
"Ônibus","234A-10","","",""
"Ônibus","2363-10","","",""
"Ônibus","2435-10","","",""
"Ônibus","2435-51","","",""
"Ônibus","2451-10","","",""
"Ônibus","2460-10","","",""
"Ônibus","2463-10","","",""
"Ônibus","2501-10","","",""
"Ônibus","2522-10","","",""
"Ônibus","2523-10","","",""
"Ônibus","2523-21","","",""
"Ônibus","253F-10","","",""
"Ônibus","2551-10","","",""
"Ônibus","2552-10","","",""
"Ônibus","2552-41","","",""
"Ônibus","2582-10","","",""
"Ônibus","2582-21","","",""
"Ônibus","2583-10","","",""
"Ônibus","2590-10","","",""
"Ônibus","2590-21","","",""
"Ônibus","2626-10","","",""
"Ônibus","2628-10","","",""
"Ônibus","2628-22","","",""
"Ônibus","263C-10","","",""
"Ônibus","263J-10","","",""
"Ônibus","2666-10","","",""
"Ônibus","2666-21","","",""
"Ônibus","2666-51","","",""
"Ônibus","2678-10","","",""
"Ônibus","2678-11","","",""
"Ônibus","2678-41","","",""
"Ônibus","2702-10","","",""
"Ônibus","2702-21","","",""
"Ônibus","2703-10","","",""
"Ônibus","2703-21","","",""
"Ônibus","2703-22","","",""
"Ônibus","2704-10","","",""
"Ônibus","2705-10","","",""
"Ônibus","2706-10","","",""
"Ônibus","2707-10","","",""
"Ônibus","2707-31","","",""
"Ônibus","2708-10","","",""
"Ônibus","2709-10","","",""
"Ônibus","2709-31","","",""
"Ônibus","2710-10","","",""
"Ônibus","2710-31","","",""
"Ônibus","2711-10","","",""
"Ônibus","2712-10","","",""
"Ônibus","2713-10","","",""
"Ônibus","2714-10","","",""
"Ônibus","2715-10","","",""
"Ônibus","2716-10","","",""
"Ônibus","2717-10","","",""
"Ônibus","2718-10","","",""
"Ônibus","2719-10","","",""
"Ônibus","271A-10","","",""
"Ônibus","271A-51","","",""
"Ônibus","271C-10","","",""
"Ônibus","271F-10","","",""
"Ônibus","271M-10","","",""
"Ônibus","271P-10","","",""
"Ônibus","2720-10","","",""
"Ônibus","2720-31","","",""
"Ônibus","2721-10","","",""
"Ônibus","2722-10","","",""
"Ônibus","2722-31","","",""
"Ônibus","2723-10","","",""
"Ônibus","2724-10","","",""
"Ônibus","2725-10","","",""
"Ônibus","2726-10","","",""
"Ônibus","2727-10","","",""
"Ônibus","2728-10","","",""
"Ônibus","272N-10","","",""
"Ônibus","2730-10","","",""
"Ônibus","2731-10","","",""
"Ônibus","2732-10","","",""
"Ônibus","2733-10","","",""
"Ônibus","2734-10","","",""
"Ônibus","2735-10","","",""
"Ônibus","2735-21","","",""
"Ônibus","2736-10","","",""
"Ônibus","273D-10","","",""
"Ônibus","273F-10","","",""
"Ônibus","273G-10","","",""
"Ônibus","273G-21","","",""
"Ônibus","273J-10","","",""
"Ônibus","273L-10","","",""
"Ônibus","273N-10","","",""
"Ônibus","273N-41","","",""
"Ônibus","273R-10","","",""
"Ônibus","273R-11","","",""
"Ônibus","273R-42","","",""
"Ônibus","273V-10","","",""
"Ônibus","273X-10","","",""
"Ônibus","2740-10","","",""
"Ônibus","274P-10","","",""
"Ônibus","2755-10","","",""
"Ônibus","2755-51","","",""
"Ônibus","2756-10","","",""
"Ônibus","2762-10","","",""
"Ônibus","2765-10","","",""
"Ônibus","2766-10","","",""
"Ônibus","2766-41","","",""
"Ônibus","2767-10","","",""
"Ônibus","2768-10","","",""
"Ônibus","2769-10","","",""
"Ônibus","2770-10","","",""
"Ônibus","2772-10","","",""
"Ônibus","2780-10","","",""
"Ônibus","278A-10","","",""
"Ônibus","297A-10","","",""
"Ônibus","3001-10","","",""
"Ônibus","3002-10","","",""
"Ônibus","3003-10","","",""
"Ônibus","3004-10","","",""
"Ônibus","3006-10","","",""
"Ônibus","3013-10","","",""
"Ônibus","3019-10","","",""
"Ônibus","3020-10","","",""
"Ônibus","3020-31","","",""
"Ônibus","3021-10","","",""
"Ônibus","3023-10","","",""
"Ônibus","3024-10","","",""
"Ônibus","3025-10","","",""
"Ônibus","3026-10","","",""
"Ônibus","3027-10","","",""
"Ônibus","3029-10","","",""
"Ônibus","3031-10","","",""
"Ônibus","3032-10","","",""
"Ônibus","3033-10","","",""
"Ônibus","3046-10","","",""
"Ônibus","3053-10","","",""
"Ônibus","3054-10","","",""
"Ônibus","3063-10","","",""
"Ônibus","3063-41","","",""
"Ônibus","3064-10","","",""
"Ônibus","3064-41","","",""
"Ônibus","3069-10","","",""
"Ônibus","307C-10","","",""
"Ônibus","3098-10","","",""
"Ônibus","3099-10","","",""
"Ônibus","3112-10","","",""
"Ônibus","311C-10","","",""
"Ônibus","312N-10","","",""
"Ônibus","3134-10","","",""
"Ônibus","3139-10","","",""
"Ônibus","3139-31","","",""
"Ônibus","3141-10","","",""
"Ônibus","314J-10","","",""
"Ônibus","314V-10","","",""
"Ônibus","3160-10","","",""
"Ônibus","3161-10","","",""
"Ônibus","3206-10","","",""
"Ônibus","3301-10","","",""
"Ônibus","3309-10","","",""
"Ônibus","3310-10","","",""
"Ônibus","3318-10","","",""
"Ônibus","331T-10","","",""
"Ônibus","3390-10","","",""
"Ônibus","3414-10","","",""
"Ônibus","3414-21","","",""
"Ônibus","342C-10","","",""
"Ônibus","342M-10","","",""
"Ônibus","342N-10","","",""
"Ônibus","3459-10","","",""
"Ônibus","3459-21","","",""
"Ônibus","3459-23","","",""
"Ônibus","3459-24","","",""
"Ônibus","3462-10","","",""
"Ônibus","3462-41","","",""
"Ônibus","351F-10","","",""
"Ônibus","352A-10","","",""
"Ônibus","3539-10","","",""
"Ônibus","354M-10","","",""
"Ônibus","3574-10","","",""
"Ônibus","3574-31","","",""
"Ônibus","3574-41","","",""
"Ônibus","364A-10","","",""
"Ônibus","364A-21","","",""
"Ônibus","3686-10","","",""
"Ônibus","3712-10","","",""
"Ônibus","3712-41","","",""
"Ônibus","3718-10","","",""
"Ônibus","3721-10","","",""
"Ônibus","3721-41","","",""
"Ônibus","3722-10","","",""
"Ônibus","3725-10","","",""
"Ônibus","3725-41","","",""
"Ônibus","3728-10","","",""
"Ônibus","3728-41","","",""
"Ônibus","3729-10","","",""
"Ônibus","372F-10","","",""
"Ônibus","372U-10","","",""
"Ônibus","3731-10","","",""
"Ônibus","3732-10","","",""
"Ônibus","3734-10","","",""
"Ônibus","3735-10","","",""
"Ônibus","3735-21","","",""
"Ônibus","3735-41","","",""
"Ônibus","3736-10","","",""
"Ônibus","3737-10","","",""
"Ônibus","3737-21","","",""
"Ônibus","3737-31","","",""
"Ônibus","3737-41","","",""
"Ônibus","3738-10","","",""
"Ônibus","3738-21","","",""
"Ônibus","3739-10","","",""
"Ônibus","3739-31","","",""
"Ônibus","373L-10","","",""
"Ônibus","373M-10","","",""
